road_component_id,source_init_node,source_term_node,edge_count,edge_indices,length_miles,lanes,lane_miles,max_flood_depth_mm,minimum_capacity_retention_ratio,contains_closed_edge,repair_cost_usd,baseline_component_flow_veh_per_period,same_flow_vehicle_min_saving,capacity_loss_proxy_vehicle_min,closed_link_proxy_vehicle_min,impact_score,impact_per_dollar,severity_index,boundary_end_count,interior_severe_segment,warmstart_singleton_score,checkpoint_status,checkpoint_stage,checkpoint_generation
12400->10827,12400,10827,1,"(26028,)",0.08,1,0.08,63.5,0.637,False,1761.92,8043.864472002769,3641.81899003749,437.9884205005508,0.0,3676.858063677534,2.0868473390832354,0.5048392453623796,0,True,0.4173694678166471,completed,completed,30
9223->8361,9223,8361,1,"(17208,)",0.04,2,0.08,88.9,0.637,False,1761.92,3901.065111937482,46.55432959880265,106.20649767249795,0.0,55.05084941260249,0.03124480646828601,0.3902242609548906,0,False,0.03124480646828601,completed,completed,30
12587->10882,12587,10882,1,"(26665,)",0.09,1,0.09,127.0,0.564,False,1982.1599999999999,3041.142626398587,485.8241378517879,198.8907277664676,0.0,501.7353960731053,0.2531255781940435,0.5033017092312888,0,True,0.050625115638808706,completed,completed,30
4305->8758,4305,8758,1,"(6405,)",0.09,1,0.09,127.0,0.564,False,1982.1599999999999,4685.169703993149,1219.6501556010364,393.9558411100525,0.0,1251.1666228898407,0.6312137379877714,0.5349846376613433,0,True,0.12624274759755427,completed,completed,30
4403->4402,4403,4402,1,"(6679,)",0.09,1,0.09,127.0,0.564,False,1982.1599999999999,2301.1510323191605,219.73321590412522,193.4939282318654,0.0,235.21273016267446,0.11866485559322884,0.4779378868985025,0,True,0.02373297111864577,completed,completed,30
8758->4305,8758,4305,1,"(15942,)",0.09,1,0.09,127.0,0.564,False,1982.1599999999999,3533.8538096039315,501.63139406098657,297.1466217618391,0.0,525.4031238019337,0.2650659501765416,0.506297997523782,0,True,0.05301319003530833,completed,completed,30
10627->7587,10627,7587,1,"(20369,)",0.1,1,0.1,127.0,0.564,False,2202.4,5571.346170447567,2694.466486641688,520.5229136389584,0.0,2736.1083197328044,1.2423303304271722,0.5599870776467805,0,True,0.24846606608543445,completed,completed,30
12146->12149,12146,12149,1,"(25254,)",0.05,2,0.1,63.5,0.637,False,2202.4,9624.326836039352,362.3482812758426,291.13588679019045,0.0,385.63915221905785,0.1750995060929249,0.4402155807499497,0,True,0.03501990121858498,completed,completed,30
12336->2745,12336,2745,1,"(25849,)",0.1,1,0.1,127.0,0.564,False,2202.4,3182.172648402081,519.7814214262166,260.1426140068702,0.0,540.5928305467662,0.24545624343750735,0.5059962827090126,0,True,0.049091248687501476,completed,completed,30
2817->2818,2817,2818,1,"(4256,)",0.05,2,0.1,127.0,0.564,False,2202.4,5901.542785564709,449.85387003299263,241.2255613599575,0.0,469.15191494178924,0.21301848662449566,0.5085476231833314,0,True,0.04260369732489913,completed,completed,30
8726->8723,8726,8723,1,"(15857,)",0.1,1,0.1,127.0,0.564,False,2202.4,3098.151172180391,328.13765235771945,324.1905386569561,0.0,354.07289545027595,0.16076684319391388,0.49322606378620554,0,True,0.03215336863878278,completed,completed,30
8751->6215,8751,6215,1,"(15919,)",0.05,2,0.1,127.0,0.564,False,2202.4,6618.974024725664,473.90772089919125,309.20064372647033,0.0,498.64377239730885,0.2264092682515932,0.5115964510375327,0,True,0.04528185365031864,completed,completed,30
8872->10604,8872,10604,1,"(16198,)",0.1,1,0.1,127.0,0.564,False,2202.4,3838.715671868069,700.2492530656268,358.6457213431025,0.0,728.9409107730751,0.3309757132097144,0.5168618946060098,0,True,0.06619514264194289,completed,completed,30
4468->10833,4468,10833,1,"(6889,)",0.11,1,0.11,63.5,0.637,False,2422.64,3807.203205016451,135.93132951678842,325.76062280637194,0.0,161.99217934129817,0.06686597238603266,0.4045755318972725,1,False,0.08358246548254082,completed,completed,30
7462->7461,7462,7461,1,"(13400,)",0.11,1,0.11,127.0,0.564,False,2422.64,4033.0778145702698,894.1998115802228,414.4851685431218,0.0,927.3586250636725,0.38278845600818634,0.524507293308099,0,True,0.07655769120163727,completed,completed,30
10590->9635,10590,9635,1,"(20196,)",0.12,1,0.12,177.8,0.509,False,2642.88,1358.136669660261,578.0256443744572,171.4744555208198,0.0,591.7436008161228,0.2239010476510938,0.5525019678720323,0,True,0.044780209530218766,completed,completed,30
12498->8958,12498,8958,1,"(26355,)",0.12,1,0.12,88.9,0.637,False,2642.88,4503.853102328759,349.03554658443693,420.40251672308733,0.0,382.6677479222839,0.14479194966184009,0.4486431957186689,0,True,0.028958389932368017,completed,completed,30
2040->7167,2040,7167,1,"(2215,)",0.12,1,0.12,127.0,0.564,False,2642.88,4278.832482398893,1325.3690932936486,419.75346652333144,0.0,1358.9493706155151,0.5141926120805769,0.5364363140980257,0,True,0.10283852241611538,completed,completed,30
4454->12453,4454,12453,1,"(6848,)",0.12,1,0.12,88.9,0.637,False,2642.88,3031.0763163509755,53.12270939436295,316.8808424165964,0.0,78.47317678769066,0.029692296580885496,0.39779401528990443,0,False,0.029692296580885496,completed,completed,30
7138->8751,7138,8751,1,"(12730,)",0.06,2,0.12,127.0,0.564,False,2642.88,4895.915638905864,400.08482868564556,240.14466208833264,0.0,419.2964016527122,0.15865132039771468,0.5031980912590752,0,True,0.031730264079542936,completed,completed,30
7462->10374,7462,10374,1,"(13402,)",0.12,1,0.12,127.0,0.564,False,2642.88,3401.214194983325,805.337657305855,296.58587780254595,0.0,829.0645275300587,0.31369737843945195,0.5193422018094546,0,True,0.06273947568789039,completed,completed,30
8324->2050,8324,2050,1,"(15277,)",0.12,1,0.12,127.0,0.564,False,2642.88,3491.582650364641,648.4478662942189,391.4562948580243,0.0,679.7643698828608,0.25720591547208377,0.5137673021684662,0,True,0.051441183094416754,completed,completed,30
8811->6391,8811,6391,1,"(16111,)",0.06,2,0.12,177.8,0.509,False,2642.88,3117.84521880597,719.0903834677218,172.22197527379475,0.0,732.8681414896254,0.277299060679874,0.5678701254518626,0,True,0.0554598121359748,completed,completed,30
10350->6913,10350,6913,1,"(19131,)",0.13,1,0.13,127.0,0.564,False,2863.12,3698.962087516789,979.3632221101155,381.1948565826393,0.0,1009.8588106367267,0.35271270873617827,0.526081090323807,0,True,0.07054254174723566,completed,completed,30
5152->5128,5152,5128,1,"(8971,)",0.13,1,0.13,127.0,0.564,False,2863.12,4006.5507160202333,1075.2379745056485,469.8440577600556,0.0,1112.825499126453,0.3886758148895097,0.5298187477709488,0,True,0.07773516297790195,completed,completed,30
6913->10350,6913,10350,1,"(12239,)",0.13,1,0.13,127.0,0.564,False,2863.12,3705.699999524546,983.836878996927,381.8892290419115,0.0,1014.3880173202799,0.3542946217134734,0.5262330611314392,0,True,0.07085892434269468,completed,completed,30
2745->10542,2745,10542,1,"(4055,)",0.14,1,0.14,127.0,0.564,False,3083.36,4896.384993007774,2049.2296816175194,717.300815935667,0.0,2106.6137468923725,0.683220171141992,0.550854887137505,0,True,0.1366440342283984,completed,completed,30
7561->7560,7561,7560,1,"(13703,)",0.14,1,0.14,127.0,0.564,False,3083.36,3657.8881625837384,855.3952130961561,478.451771665953,0.0,893.6713548294324,0.289836851625964,0.5223505384513447,0,True,0.05796737032519281,completed,completed,30
10122->10121,10122,10121,1,"(18615,)",0.15,1,0.15,177.8,0.509,False,3303.6,906.589846361838,443.01392779528913,160.2488212429185,0.0,455.8338334947226,0.13798094003351574,0.5404015705875242,0,True,0.02759618800670315,completed,completed,30
10543->12336,10543,12336,1,"(19969,)",0.15,1,0.15,127.0,0.564,False,3303.6,3309.040200825528,845.8535132436458,405.77105462623035,0.0,878.3151976137442,0.2658660847601841,0.5207463968336252,0,True,0.05317321695203682,completed,completed,30
10883->2568,10883,2568,1,"(21533,)",0.15,1,0.15,127.0,0.564,False,3303.6,1666.1515370819495,363.79497033706235,181.61051754193252,0.0,378.32381174041694,0.11451864987904618,0.4884190694285946,0,True,0.022903729975809237,completed,completed,30
2568->12590,2568,12590,1,"(3603,)",0.15,1,0.15,127.0,0.564,False,3303.6,1741.3775056671602,381.816069354504,189.8101481177205,0.0,397.00088120392167,0.1201722003886432,0.49032085583451157,0,True,0.02403444007772864,completed,completed,30
2847->7045,2847,7045,1,"(4351,)",0.15,1,0.15,228.6,0.463,False,3303.6,477.0424777577837,757.8733961834865,82.34093910726315,0.0,764.4606713120676,0.23140230999880967,0.5986345975407049,0,True,0.046280461999761935,completed,completed,30
7045->2847,7045,2847,1,"(12473,)",0.15,1,0.15,228.6,0.463,False,3303.6,564.1013338804742,896.346598712255,97.36791952301184,0.0,904.1360322740959,0.27368205360034387,0.6054125743072539,0,True,0.054736410720068775,completed,completed,30
8099->8105,8099,8105,1,"(15055,)",0.05,3,0.15000000000000002,127.0,0.564,False,3303.6000000000004,4609.005637912579,451.70413237794315,115.93421873826257,0.0,460.9788698770042,0.13953834298250517,0.505334681863411,0,True,0.027907668596501036,completed,completed,30
8103->8100,8103,8100,1,"(15061,)",0.05,3,0.15000000000000002,107.95,0.564,False,3303.6000000000004,8046.961466577438,636.4040230246902,202.41203073621713,0.0,652.5969854835876,0.19754116281740752,0.5089648121011392,0,True,0.03950823256348151,completed,completed,30
10120->7036,10120,7036,1,"(18606,)",0.16,1,0.16,177.8,0.509,False,3523.84,1153.45398387372,651.0385373340864,194.1757392281131,0.0,666.5725964723355,0.18916085760770507,0.5542363084434653,0,True,0.037832171521541016,completed,completed,30
7560->4378,7560,4378,1,"(13698,)",0.08,2,0.16,127.0,0.564,False,3523.84,5230.698580715632,325.1913848172099,456.11691623840306,0.0,361.68073811628216,0.10263824070226858,0.49956132801871517,0,True,0.020527648140453717,completed,completed,30
8081->2863,8081,2863,1,"(15034,)",0.16,1,0.16,127.0,0.564,False,3523.84,4720.378003894329,2344.716203703584,658.5871391033368,0.0,2397.403174831851,0.6803382602024641,0.5542759513732924,0,True,0.13606765204049284,completed,completed,30
8757->8758,8757,8758,1,"(15939,)",0.16,1,0.16,127.0,0.564,False,3523.84,4501.573421188687,1876.3259093278625,672.9209182759774,0.0,1930.1595827899407,0.5477432524717185,0.5473541917652218,0,True,0.1095486504943437,completed,completed,30
8758->8757,8758,8757,1,"(15944,)",0.16,1,0.16,127.0,0.564,False,3523.84,4001.9802969392517,1269.7803563829139,598.238883245319,0.0,1317.6394670425393,0.3739214797046799,0.534795474171098,0,True,0.07478429594093598,completed,completed,30
10566->4430,10566,4430,1,"(20075,)",0.17,1,0.17,127.0,0.564,False,3744.0800000000004,4411.250733208556,1915.204395728085,676.4729055422446,0.0,1969.3222281714645,0.525982945923021,0.547726653534688,0,True,0.1051965891846042,completed,completed,30
5083->5084,5083,5084,1,"(8786,)",0.17,1,0.17,127.0,0.564,False,3744.0800000000004,3221.31822679877,757.0350557873704,511.63737207926755,0.0,797.9660455537119,0.2131274026072391,0.5176212940203285,0,True,0.04262548052144782,completed,completed,30
5885->5896,5885,5896,1,"(10449,)",0.17,1,0.17,127.0,0.564,False,3744.0800000000004,4018.1129343291555,1183.896765625927,714.774073661945,0.0,1241.0786915188826,0.33147761039264184,0.5330714171997237,0,True,0.06629552207852837,completed,completed,30
7451->8696,7451,8696,1,"(13372,)",0.17,1,0.17,228.6,0.463,False,3744.0800000000004,577.7974097025608,983.1576732166008,143.8557969047639,0.0,994.6661369689818,0.2656636976156978,0.6084912049732536,0,True,0.053132739523139565,completed,completed,30
7513->8082,7513,8082,1,"(13554,)",0.17,1,0.17,127.0,0.564,False,3744.0800000000004,3991.274090615202,1438.4722733631693,591.6664711927978,0.0,1485.805591058593,0.39684130442153825,0.5383139463281845,0,True,0.07936826088430765,completed,completed,30
10850->12502,10850,12502,1,"(21385,)",0.18,1,0.18,88.9,0.637,False,3964.3199999999997,4726.444172678018,665.0110355126567,661.7697048059607,0.0,717.9526118971336,0.18110359706005913,0.4677311600775754,0,True,0.036220719412011826,completed,completed,30
10560->8726,10560,8726,1,"(20046,)",0.19,1,0.19,127.0,0.564,False,4184.56,3003.689079560827,579.9553605601399,597.1814480419654,0.0,627.7298764034971,0.15001096325623173,0.5097766365958684,0,True,0.030002192651246345,completed,completed,30
12491->7471,12491,7471,1,"(26339,)",0.19,1,0.19,127.0,0.564,False,4184.56,3244.9304790091246,860.2426056749954,576.0215161738198,0.0,906.324326968901,0.21658772414994668,0.5214599567220991,0,True,0.04331754482998934,completed,completed,30
12491->7473,12491,7473,1,"(26340,)",0.19,1,0.19,127.0,0.564,False,4184.56,3660.9804245328123,1163.5765282605785,649.8763250749247,0.0,1215.5666342665725,0.2904885183308573,0.5314434460197711,0,True,0.058097703666171466,completed,completed,30
2450->6305,2450,6305,1,"(3284,)",0.19,1,0.19,127.0,0.564,False,4184.56,4410.0142434618465,1846.201054674352,876.7813918281106,0.0,1916.343566020601,0.45795581041270783,0.5469179883388455,0,True,0.09159116208254157,completed,completed,30
2825->2847,2825,2847,1,"(4280,)",0.19,1,0.19,228.6,0.463,False,4184.56,673.5176945759325,1417.057360121304,114.5316839626373,0.0,1426.219894838315,0.3408291181960146,0.6208023151904165,0,True,0.06816582363920291,completed,completed,30
5344->5335,5344,5335,1,"(9462,)",0.19,1,0.19,127.0,0.564,False,4184.56,4465.317365176299,1641.6025569978865,1008.8369741760126,0.0,1722.3095149319674,0.41158676537843103,0.5439003068491445,0,True,0.08231735307568622,completed,completed,30
5803->5805,5803,5805,1,"(10269,)",0.19,1,0.19,127.0,0.564,False,4184.56,3496.400111644631,1030.329435609725,620.6609683899457,0.0,1079.9823130809204,0.2580874245036325,0.5274496097116523,0,True,0.0516174849007265,completed,completed,30
5884->5885,5884,5885,1,"(10444,)",0.19,1,0.19,127.0,0.564,False,4184.56,3528.5654855274474,878.7013741255179,701.5352755706251,0.0,934.8241961711678,0.22339844479973228,0.5232874133020009,0,True,0.04467968895994646,completed,completed,30
6133->8648,6133,8648,1,"(10835,)",0.19,1,0.19,127.0,0.564,False,4184.56,3151.01314707569,649.5448537200284,626.4718298490005,0.0,699.6626001079485,0.16720099606839153,0.513500231799681,0,True,0.03344019921367831,completed,completed,30
6305->2450,6305,2450,1,"(11059,)",0.19,1,0.19,127.0,0.564,False,4184.56,3747.895959337701,1053.75563936316,745.1416830516844,0.0,1113.3669740072949,0.2660654821551835,0.5291057060527031,0,True,0.0532130964310367,completed,completed,30
6916->2815,6916,2815,1,"(12249,)",0.19,1,0.19,127.0,0.564,False,4184.56,4639.540235201395,2483.929376361127,823.5846708944649,0.0,2549.816150032684,0.609339130047767,0.5559086575548132,0,True,0.1218678260095534,completed,completed,30
8695->7451,8695,7451,1,"(15827,)",0.19,1,0.19,228.6,0.463,False,4184.56,665.6309932444365,1400.4171492707164,113.1905504012164,0.0,1409.4723933028138,0.33682690493213474,0.6203252079685846,0,True,0.06736538098642696,completed,completed,30
8811->6389,8811,6389,1,"(16110,)",0.19,1,0.19,177.8,0.509,False,4184.56,3012.4881477712934,2711.89991152874,526.9406611979699,0.0,2754.055164424578,0.6581468934426983,0.6065949084249999,0,True,0.13162937868853966,completed,completed,30
8818->6434,8818,6434,1,"(16115,)",0.19,1,0.19,152.4,0.509,False,4184.56,3450.198586624124,1883.8685340428017,772.4856627507949,0.0,1945.6673870628654,0.4649634339244425,0.5808746341861006,0,True,0.0929926867848885,completed,completed,30
8993->8992,8993,8992,1,"(16572,)",0.19,1,0.19,127.0,0.564,False,4184.56,2781.486129921626,491.5188694080832,553.003946406498,0.0,535.7591851206031,0.1280323821669669,0.504264547992163,0,True,0.025606476433393383,completed,completed,30
9004->8997,9004,8997,1,"(16612,)",0.19,1,0.19,177.8,0.509,False,4184.56,2526.667322891774,1787.5082975291716,565.7107069261766,0.0,1832.7651540832658,0.43798276379912476,0.5926466997444734,0,True,0.08759655275982496,completed,completed,30
10888->2569,10888,2569,1,"(21557,)",0.2,1,0.2,127.0,0.564,False,4404.8,1059.1893173723552,302.75242459607585,153.9355141247823,0.0,315.06726572605845,0.0715281660293449,0.4780916386844736,0,True,0.014305633205868981,completed,completed,30
10905->10906,10905,10906,1,"(21631,)",0.2,1,0.2,127.0,0.564,False,4404.8,2931.5405536900334,1064.5691215972895,403.62684676069097,0.0,1096.8592693381447,0.249014545345565,0.5259870064444131,0,True,0.049802909069113,completed,completed,30
10906->10905,10906,10905,1,"(21635,)",0.2,1,0.2,127.0,0.564,False,4404.8,2902.1231559910543,1046.9099715976238,399.5765355827683,0.0,1078.8760944442452,0.24493191392214064,0.5253889326710305,0,True,0.04898638278442813,completed,completed,30
2061->2877,2061,2877,1,"(2264,)",0.2,1,0.2,127.0,0.564,False,4404.8,1942.993658974394,576.0940635104862,282.38174510427865,0.0,598.6846031188285,0.13591641007964686,0.5036313687815375,0,True,0.027183282015929372,completed,completed,30
4532->10906,4532,10906,1,"(7049,)",0.1,2,0.2,127.0,0.564,False,4404.8,2579.6525433143747,370.27384451102057,187.45475148084458,0.0,385.27022462948815,0.08746599723698877,0.4937190453623407,0,True,0.017493199447397755,completed,completed,30
5926->5930,5926,5930,1,"(10503,)",0.2,1,0.2,127.0,0.564,False,4404.8,4169.80761160117,1299.658443804763,991.6560647226056,0.0,1378.9909289825714,0.3130655033106092,0.5365873803815921,0,True,0.06261310066212183,completed,completed,30
5933->5947,5933,5947,1,"(10511,)",0.2,1,0.2,127.0,0.564,False,4404.8,3185.476666220111,702.3803381635846,666.656556706545,0.0,755.7128627001082,0.17156576069290505,0.515893396776085,0,True,0.034313152138581014,completed,completed,30
6389->10344,6389,10344,1,"(11298,)",0.2,1,0.2,177.8,0.509,False,4404.8,2275.124423710248,1620.438960556012,536.2013241800312,0.0,1663.3350664904144,0.37761874920323607,0.5886384729006459,0,True,0.07552374984064722,completed,completed,30
6468->6463,6468,6463,1,"(11509,)",0.2,1,0.2,127.0,0.564,False,4404.8,3248.075844700372,907.5249548262105,606.9261721240124,0.0,956.0790485961315,0.21705390678263065,0.5230484297131626,0,True,0.04341078135652613,completed,completed,30
6498->9011,6498,9011,1,"(11583,)",0.1,2,0.2,127.0,0.564,False,4404.8,1114.3415845121474,105.66233229532085,104.11134232442063,0.0,113.99123968127451,0.025878868434724506,0.4487598137096605,0,True,0.005175773686944902,completed,completed,30
7562->7564,7562,7564,1,"(13708,)",0.2,1,0.2,152.4,0.509,False,4404.8,3082.438430185888,1445.2524808442893,756.7386346106355,0.0,1505.7915716131401,0.34185242726415277,0.5720756371123082,0,True,0.06837048545283056,completed,completed,30
10585->2450,10585,2450,1,"(20169,)",0.21,1,0.21,127.0,0.564,False,4625.04,4120.6001350768465,1595.3817815706568,905.4771560823267,0.0,1667.819954057243,0.3606066010363679,0.5420749322982586,0,True,0.07212132020727358,completed,completed,30
10630->10624,10630,10624,1,"(20383,)",0.21,1,0.21,177.8,0.509,False,4625.04,1894.7777848789262,1562.015431847724,366.3197576228739,0.0,1591.3210124575537,0.344066432389245,0.5853376136880749,0,True,0.068813286477849,completed,completed,30
10643->7778,10643,7778,1,"(20441,)",0.21,1,0.21,107.95,0.564,False,4625.04,3162.664768759009,712.9643173368727,526.4974295046816,0.0,755.0841116972472,0.16326001757763114,0.5030904961066754,0,True,0.03265200351552623,completed,completed,30
2450->10585,2450,10585,1,"(3286,)",0.21,1,0.21,127.0,0.564,False,4625.04,4300.770703399358,1859.565449948692,945.0685574477887,0.0,1935.1709345445151,0.4184117185028703,0.5469333909481635,0,True,0.08368234370057406,completed,completed,30
2569->10883,2569,10883,1,"(3605,)",0.21,1,0.21,127.0,0.564,False,4625.04,1283.993018773021,386.9742161028098,195.93733466476303,0.0,402.64920287599085,0.08705853416964844,0.48741756617110427,0,True,0.017411706833929688,completed,completed,30
12152->2698,12152,2698,1,"(25266,)",0.11,2,0.22,63.5,0.637,False,4845.28,5316.616865878887,45.11761337244475,454.91252454545145,0.0,81.51061533608086,0.016822684207327722,0.388094092901704,0,False,0.016822684207327722,completed,completed,30
12460->10846,12460,10846,1,"(26229,)",0.22,1,0.22,127.0,0.564,False,4845.28,3641.4673617654107,847.9471104564273,952.6078618378315,0.0,924.1557394034538,0.1907331958944486,0.5232918138538754,0,True,0.03814663917888972,completed,completed,30
12323->12322,12323,12322,1,"(25801,)",0.23,1,0.23,88.9,0.637,False,5065.52,5916.901116245431,2597.838735403349,1058.5758732757095,0.0,2682.5248052654056,0.5295655342917224,0.50910867714926,0,True,0.10591310685834449,completed,completed,30
5798->5803,5798,5803,1,"(10251,)",0.23,1,0.23,127.0,0.564,False,5065.52,2681.0544607562124,713.0495860732882,576.1203028384994,0.0,759.1392103003682,0.1498640238910059,0.5141480566543151,0,True,0.02997280477820118,completed,completed,30
6287->6286,6287,6286,1,"(11048,)",0.23,1,0.23,127.0,0.564,False,5065.52,4324.172423040173,2077.610377440482,1040.707225397925,0.0,2160.866955472316,0.42658344167475715,0.5502514566277401,0,True,0.08531668833495143,completed,completed,30
7470->2040,7470,2040,1,"(13431,)",0.23,1,0.23,127.0,0.564,False,5065.52,3002.730486858994,881.181885724644,645.2438854761856,0.0,932.8013965627388,0.18414721421744237,0.5214646576625653,0,True,0.03682944284348848,completed,completed,30
10597->12185,10597,12185,1,"(20231,)",0.24,1,0.24,177.8,0.509,False,5285.76,2206.80041776278,1867.1983293809462,624.1184669499983,0.0,1917.127806736946,0.36269671849212715,0.5925009900596089,0,True,0.07253934369842543,completed,completed,30
12149->12152,12149,12152,1,"(25261,)",0.12,2,0.24,63.5,0.637,False,5285.76,7546.929579461709,299.6639205352144,547.90708746892,0.0,343.496487532728,0.06498525993097076,0.43415382439844574,0,True,0.012997051986194153,completed,completed,30
1909->2454,1909,2454,1,"(1789,)",0.24,1,0.24,127.0,0.564,False,5285.76,2554.344575197008,774.4874576815913,534.5732326972299,0.0,817.2533162973697,0.15461415506897203,0.5157978674859773,0,True,0.030922831013794408,completed,completed,30
