init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type,edge_type,station_group,source_init_node,source_term_node,init_depth_mm,term_depth_mm,edge_depth_mm,charging_related,flood_affected,retain_in_flood_network
45,10337,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,45,10337,127.0,127.0,127.0,False,True,True
46,10338,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,46,10338,127.0,127.0,127.0,False,True,True
47,10339,100000.0,0.43,0.0,0.15,4,25.0,0.0,3,road_original,,47,10339,127.0,127.0,127.0,False,True,True
48,10340,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,48,10340,127.0,127.0,127.0,False,True,True
49,10341,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,49,10341,127.0,127.0,127.0,False,True,True
50,10342,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,50,10342,177.8,177.8,177.8,False,True,True
51,10343,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,51,10343,127.0,127.0,127.0,False,True,True
52,10344,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,52,10344,177.8,177.8,177.8,False,True,True
53,10345,100000.0,0.52,0.0,0.15,4,25.0,0.0,3,road_original,,53,10345,127.0,127.0,127.0,False,True,True
54,4051,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,54,4051,127.0,127.0,127.0,False,True,True
55,2447,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,55,2447,127.0,127.0,127.0,False,True,True
56,4053,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,56,4053,127.0,127.0,127.0,False,True,True
57,4056,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,57,4056,127.0,127.0,127.0,False,True,True
58,4065,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,58,4065,127.0,127.0,127.0,False,True,True
59,2462,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,59,2462,127.0,127.0,127.0,False,True,True
61,10352,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,61,10352,127.0,127.0,127.0,False,True,True
62,7517,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,62,7517,127.0,127.0,127.0,False,True,True
63,9339,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,63,9339,127.0,127.0,127.0,False,True,True
64,10353,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,64,10353,127.0,127.0,127.0,False,True,True
65,10354,100000.0,0.15,0.0,0.15,4,25.0,0.0,3,road_original,,65,10354,127.0,127.0,127.0,False,True,True
66,9912,100000.0,0.15,0.0,0.15,4,25.0,0.0,3,road_original,,66,9912,127.0,127.0,127.0,False,True,True
67,4726,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,67,4726,127.0,127.0,127.0,False,True,True
68,9340,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,68,9340,127.0,127.0,127.0,False,True,True
69,2547,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,69,2547,127.0,127.0,127.0,False,True,True
70,2548,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,70,2548,127.0,127.0,127.0,False,True,True
71,10357,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,71,10357,127.0,127.0,127.0,False,True,True
72,9918,100000.0,0.16,0.0,0.15,4,25.0,0.0,3,road_original,,72,9918,127.0,127.0,127.0,False,True,True
73,10355,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,73,10355,127.0,127.0,127.0,False,True,True
74,2645,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,74,2645,127.0,127.0,127.0,False,True,True
75,2683,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,75,2683,127.0,127.0,127.0,False,True,True
76,2702,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,76,2702,127.0,127.0,127.0,False,True,True
77,4363,100000.0,0.14,0.0,0.15,4,25.0,0.0,3,road_original,,77,4363,127.0,127.0,127.0,False,True,True
78,2485,100000.0,0.16,0.0,0.15,4,25.0,0.0,3,road_original,,78,2485,127.0,127.0,127.0,False,True,True
79,4738,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,79,4738,127.0,127.0,127.0,False,True,True
80,2650,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,80,2650,127.0,127.0,127.0,False,True,True
81,4414,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,81,4414,127.0,127.0,127.0,False,True,True
82,10361,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,82,10361,127.0,127.0,127.0,False,True,True
83,10362,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,83,10362,127.0,127.0,127.0,False,True,True
84,4474,100000.0,0.19,0.0,0.15,4,25.0,0.0,3,road_original,,84,4474,127.0,127.0,127.0,False,True,True
85,4324,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,85,4324,127.0,127.0,127.0,False,True,True
86,2675,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,86,2675,127.0,127.0,127.0,False,True,True
87,4505,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,87,4505,127.0,127.0,127.0,False,True,True
88,2780,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,88,2780,127.0,127.0,127.0,False,True,True
89,4530,100000.0,0.14,0.0,0.15,4,25.0,0.0,3,road_original,,89,4530,127.0,127.0,127.0,False,True,True
90,4336,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,90,4336,127.0,127.0,127.0,False,True,True
91,4344,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,91,4344,127.0,127.0,127.0,False,True,True
92,4513,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,92,4513,127.0,127.0,127.0,False,True,True
93,9345,100000.0,0.12,0.0,0.15,4,25.0,0.0,3,road_original,,93,9345,127.0,127.0,127.0,False,True,True
94,10365,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,94,10365,127.0,127.0,127.0,False,True,True
95,4544,100000.0,0.2,0.0,0.15,4,25.0,0.0,3,road_original,,95,4544,127.0,127.0,127.0,False,True,True
96,4338,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,96,4338,127.0,127.0,127.0,False,True,True
97,4642,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,97,4642,127.0,127.0,127.0,False,True,True
98,10364,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,98,10364,127.0,127.0,127.0,False,True,True
99,2500,100000.0,0.13,0.0,0.15,4,25.0,0.0,3,road_original,,99,2500,127.0,127.0,127.0,False,True,True
100,2514,100000.0,0.14,0.0,0.15,4,25.0,0.0,3,road_original,,100,2514,127.0,127.0,127.0,False,True,True
101,2426,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,101,2426,127.0,127.0,127.0,False,True,True
102,6438,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,102,6438,177.8,177.8,177.8,False,True,True
103,2556,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,103,2556,127.0,127.0,127.0,False,True,True
104,10348,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,104,10348,127.0,127.0,127.0,False,True,True
105,6629,100000.0,0.17,0.0,0.15,4,25.0,0.0,3,road_original,,105,6629,127.0,127.0,127.0,False,True,True
106,6759,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,106,6759,127.0,127.0,127.0,False,True,True
107,10347,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,107,10347,127.0,127.0,127.0,False,True,True
108,2555,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,108,2555,177.8,127.0,152.4,False,True,True
109,8842,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,109,8842,127.0,127.0,127.0,False,True,True
110,10349,100000.0,0.28,0.0,0.15,4,25.0,0.0,3,road_original,,110,10349,127.0,127.0,127.0,False,True,True
111,10351,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,111,10351,127.0,127.0,127.0,False,True,True
112,6763,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,112,6763,127.0,127.0,127.0,False,True,True
113,6918,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,113,6918,127.0,127.0,127.0,False,True,True
114,12840,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,114,12840,127.0,127.0,127.0,False,True,True
115,4328,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,115,4328,127.0,127.0,127.0,False,True,True
116,6933,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,116,6933,127.0,127.0,127.0,False,True,True
117,4329,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,117,4329,127.0,127.0,127.0,False,True,True
118,7025,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,118,7025,127.0,127.0,127.0,False,True,True
119,7029,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,119,7029,127.0,127.0,127.0,False,True,True
120,7032,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,120,7032,127.0,127.0,127.0,False,True,True
121,10368,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,121,10368,127.0,127.0,127.0,False,True,True
122,9232,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,122,9232,127.0,127.0,127.0,False,True,True
123,9237,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,123,9237,127.0,127.0,127.0,False,True,True
124,4362,100000.0,0.34,0.0,0.15,4,25.0,0.0,3,road_original,,124,4362,127.0,127.0,127.0,False,True,True
125,7470,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,125,7470,127.0,127.0,127.0,False,True,True
126,2029,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,126,2029,127.0,127.0,127.0,False,True,True
127,8053,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,127,8053,127.0,127.0,127.0,False,True,True
128,7518,100000.0,0.25,0.0,0.15,4,25.0,0.0,3,road_original,,128,7518,127.0,127.0,127.0,False,True,True
129,2552,100000.0,0.28,0.0,0.15,4,25.0,0.0,3,road_original,,129,2552,127.0,127.0,127.0,False,True,True
130,10346,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,130,10346,127.0,127.0,127.0,False,True,True
131,10350,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,131,10350,127.0,127.0,127.0,False,True,True
132,10358,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,132,10358,127.0,127.0,127.0,False,True,True
133,10366,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,133,10366,127.0,127.0,127.0,False,True,True
134,10370,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,134,10370,127.0,127.0,127.0,False,True,True
135,10371,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,135,10371,127.0,127.0,127.0,False,True,True
136,10372,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,136,10372,127.0,127.0,127.0,False,True,True
137,10373,100000.0,0.47,0.0,0.15,4,25.0,0.0,3,road_original,,137,10373,127.0,127.0,127.0,False,True,True
138,10374,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,138,10374,127.0,127.0,127.0,False,True,True
139,10375,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,139,10375,127.0,127.0,127.0,False,True,True
140,10376,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,140,10376,127.0,127.0,127.0,False,True,True
141,10377,100000.0,0.55,0.0,0.15,4,25.0,0.0,3,road_original,,141,10377,127.0,127.0,127.0,False,True,True
142,10378,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,142,10378,127.0,127.0,127.0,False,True,True
143,10379,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,143,10379,127.0,127.0,127.0,False,True,True
144,10380,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,144,10380,127.0,127.0,127.0,False,True,True
145,10381,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,145,10381,88.9,88.9,88.9,False,True,True
146,10382,100000.0,0.4,0.0,0.15,4,25.0,0.0,3,road_original,,146,10382,88.9,88.9,88.9,False,True,True
147,10383,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,147,10383,127.0,127.0,127.0,False,True,True
148,10384,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,148,10384,127.0,127.0,127.0,False,True,True
149,10385,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,149,10385,88.9,88.9,88.9,False,True,True
150,10386,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,150,10386,88.9,88.9,88.9,False,True,True
151,10387,100000.0,0.56,0.0,0.15,4,25.0,0.0,3,road_original,,151,10387,88.9,88.9,88.9,False,True,True
152,10388,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,152,10388,127.0,127.0,127.0,False,True,True
153,10389,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,153,10389,88.9,88.9,88.9,False,True,True
154,10390,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,154,10390,88.9,88.9,88.9,False,True,True
155,10391,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,155,10391,88.9,88.9,88.9,False,True,True
156,10392,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,156,10392,88.9,88.9,88.9,False,True,True
157,10393,100000.0,0.37,0.0,0.15,4,25.0,0.0,3,road_original,,157,10393,88.9,88.9,88.9,False,True,True
158,10394,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,158,10394,127.0,127.0,127.0,False,True,True
159,10395,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,159,10395,63.5,63.5,63.5,False,True,True
160,10396,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,160,10396,63.5,63.5,63.5,False,True,True
161,10397,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,161,10397,63.5,63.5,63.5,False,True,True
162,10398,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,162,10398,88.9,88.9,88.9,False,True,True
163,10399,100000.0,0.47,0.0,0.15,4,25.0,0.0,3,road_original,,163,10399,88.9,88.9,88.9,False,True,True
164,10400,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,164,10400,63.5,63.5,63.5,False,True,True
165,10401,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,165,10401,63.5,63.5,63.5,False,True,True
166,10402,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,166,10402,63.5,63.5,63.5,False,True,True
167,10403,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,167,10403,63.5,63.5,63.5,False,True,True
168,10404,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,168,10404,63.5,63.5,63.5,False,True,True
169,10405,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,169,10405,127.0,127.0,127.0,False,True,True
170,10406,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,170,10406,63.5,63.5,63.5,False,True,True
171,10407,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,171,10407,63.5,63.5,63.5,False,True,True
172,10408,100000.0,0.49,0.0,0.15,4,25.0,0.0,3,road_original,,172,10408,63.5,63.5,63.5,False,True,True
173,10409,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,173,10409,63.5,63.5,63.5,False,True,True
174,10410,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,174,10410,63.5,63.5,63.5,False,True,True
175,10411,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,175,10411,127.0,127.0,127.0,False,True,True
176,10412,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,176,10412,63.5,63.5,63.5,False,True,True
177,10413,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,177,10413,63.5,63.5,63.5,False,True,True
178,10414,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,178,10414,63.5,63.5,63.5,False,True,True
179,10415,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,179,10415,63.5,63.5,63.5,False,True,True
180,10416,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,180,10416,127.0,127.0,127.0,False,True,True
181,10417,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,181,10417,127.0,127.0,127.0,False,True,True
182,10418,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,182,10418,63.5,63.5,63.5,False,True,True
183,10419,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,183,10419,63.5,63.5,63.5,False,True,True
184,10420,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,184,10420,63.5,63.5,63.5,False,True,True
185,10421,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,185,10421,63.5,63.5,63.5,False,True,True
186,10422,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,186,10422,88.9,88.9,88.9,False,True,True
187,10423,100000.0,0.58,0.0,0.15,4,25.0,0.0,3,road_original,,187,10423,127.0,127.0,127.0,False,True,True
188,10424,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,188,10424,63.5,63.5,63.5,False,True,True
189,10425,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,189,10425,63.5,63.5,63.5,False,True,True
190,10426,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,190,10426,63.5,63.5,63.5,False,True,True
191,10427,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,191,10427,88.9,88.9,88.9,False,True,True
192,10428,100000.0,0.57,0.0,0.15,4,25.0,0.0,3,road_original,,192,10428,88.9,88.9,88.9,False,True,True
193,10429,100000.0,0.58,0.0,0.15,4,25.0,0.0,3,road_original,,193,10429,127.0,127.0,127.0,False,True,True
194,10430,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,194,10430,44.45,44.45,44.45,False,True,True
195,10431,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,195,10431,63.5,63.5,63.5,False,True,True
196,10432,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,196,10432,63.5,63.5,63.5,False,True,True
197,10433,100000.0,0.57,0.0,0.15,4,25.0,0.0,3,road_original,,197,10433,88.9,88.9,88.9,False,True,True
198,10434,100000.0,0.56,0.0,0.15,4,25.0,0.0,3,road_original,,198,10434,88.9,88.9,88.9,False,True,True
199,10435,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,199,10435,127.0,88.9,107.95,False,True,True
200,10436,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,200,10436,63.5,63.5,63.5,False,True,True
201,10437,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,201,10437,63.5,63.5,63.5,False,True,True
202,10438,100000.0,0.56,0.0,0.15,4,25.0,0.0,3,road_original,,202,10438,88.9,88.9,88.9,False,True,True
203,10439,100000.0,0.56,0.0,0.15,4,25.0,0.0,3,road_original,,203,10439,88.9,88.9,88.9,False,True,True
204,10440,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,204,10440,88.9,88.9,88.9,False,True,True
205,10441,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,205,10441,88.9,88.9,88.9,False,True,True
206,10442,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,206,10442,63.5,63.5,63.5,False,True,True
207,10443,100000.0,0.56,0.0,0.15,4,25.0,0.0,3,road_original,,207,10443,63.5,63.5,63.5,False,True,True
208,10444,100000.0,0.56,0.0,0.15,4,25.0,0.0,3,road_original,,208,10444,88.9,88.9,88.9,False,True,True
209,10445,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,209,10445,88.9,88.9,88.9,False,True,True
210,10446,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,210,10446,88.9,88.9,88.9,False,True,True
211,10447,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,211,10447,88.9,88.9,88.9,False,True,True
212,10448,100000.0,0.56,0.0,0.15,4,25.0,0.0,3,road_original,,212,10448,63.5,63.5,63.5,False,True,True
213,10449,100000.0,0.56,0.0,0.15,4,25.0,0.0,3,road_original,,213,10449,63.5,63.5,63.5,False,True,True
214,10450,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,214,10450,88.9,88.9,88.9,False,True,True
215,10451,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,215,10451,88.9,88.9,88.9,False,True,True
216,10452,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,216,10452,88.9,88.9,88.9,False,True,True
217,10453,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,217,10453,88.9,88.9,88.9,False,True,True
218,10454,100000.0,0.56,0.0,0.15,4,25.0,0.0,3,road_original,,218,10454,88.9,88.9,88.9,False,True,True
219,10455,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,219,10455,88.9,88.9,88.9,False,True,True
220,10456,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,220,10456,88.9,88.9,88.9,False,True,True
221,10457,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,221,10457,88.9,88.9,88.9,False,True,True
222,10458,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,222,10458,63.5,88.9,76.2,False,True,True
223,10459,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,223,10459,88.9,88.9,88.9,False,True,True
224,10460,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,224,10460,88.9,88.9,88.9,False,True,True
