node,x,y,zipcode,level2,dcfc,rainfall_class_in,rainfall_estimate_in,rainfall_estimate_mm,node_type,charging_group,retain_in_flood_network,flood_affected_node
56,690070.0,1905470.0,60654,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
57,691286.0,1905460.0,60654,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
58,693053.0,1905001.0,60611,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
59,694259.0,1905001.0,60611,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
61,686775.0,1903780.0,60654,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
62,688638.0,1903490.0,60654,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
63,689694.0,1903387.0,60654,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
64,690875.0,1903980.0,60654,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
65,692975.0,1903980.0,60611,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
66,694689.0,1903605.0,60611,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
67,687820.0,1901811.0,60661,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
68,688700.0,1902261.0,60661,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
69,690117.0,1901879.0,60606,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
70,691285.0,1901884.0,60601,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
71,693075.0,1901880.0,60601,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
72,694257.0,1902162.0,60601,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
73,687875.0,1900780.0,60661,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
74,688653.0,1900795.0,60661,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
75,690185.0,1900884.0,60606,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
76,691384.0,1900889.0,60602,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
77,692586.0,1900868.0,60602,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
78,694173.0,1900999.0,60602,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
79,687892.0,1899462.0,60661,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
80,689081.0,1899226.0,60606,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
81,690186.0,1899723.0,60606,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
82,691375.0,1899680.0,60603,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
83,692675.0,1899180.0,60604,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
84,694193.0,1898927.0,60604,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
85,687871.0,1898309.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
86,688704.0,1898336.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
87,690584.0,1898425.0,60605,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
88,691784.0,1898419.0,60605,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
89,692732.0,1898210.0,60605,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
90,687871.0,1896626.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
91,689186.0,1896977.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
92,690476.0,1897346.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
93,691571.0,1896623.0,60605,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
94,693270.0,1897034.0,60605,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
95,694280.0,1897014.0,60605,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
96,688039.0,1895616.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
97,689175.0,1895600.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
98,691114.0,1895322.0,60605,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
99,691984.0,1895833.0,60605,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
100,693306.0,1895531.0,60605,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
101,681511.0,1908244.0,60642,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
102,686153.0,1908427.0,60642,0,0,6.0-8.0,7.0,177.8,road_node,,True,True
103,687988.0,1909296.0,60610,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
104,689575.0,1908380.0,60610,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
105,691904.0,1908458.0,60610,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
106,681516.0,1905569.0,60642,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
107,684375.0,1905880.0,60642,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
108,688096.0,1908012.0,60610,0,0,6.0-8.0,7.0,177.8,road_node,,True,True
109,690780.0,1908105.0,60610,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
110,692590.0,1906848.0,60611,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
111,683400.0,1903727.0,60642,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
112,684917.0,1905358.0,60642,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
113,682814.0,1901662.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
114,684366.0,1901798.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
115,683890.0,1899449.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
116,685650.0,1899407.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
117,683994.0,1895532.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
118,685220.0,1895055.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
119,684035.0,1893442.0,60608,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
120,686814.0,1892339.0,60608,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
121,689275.0,1892380.0,60607,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
122,692132.0,1892418.0,60605,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
123,693784.0,1893702.0,60605,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
124,695383.0,1889578.0,60616,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
125,683161.0,1891180.0,60608,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
126,686835.0,1891319.0,60608,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
127,689286.0,1891119.0,60616,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
128,691690.0,1890335.0,60616,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
129,693784.0,1891261.0,60616,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
130,678775.0,1906780.0,60622,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
131,678975.0,1901480.0,60612,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
132,679075.0,1897080.0,60612,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
133,676575.0,1889380.0,60608,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
134,679275.0,1888180.0,60608,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
135,685175.0,1886380.0,60608,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
136,689375.0,1888180.0,60616,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
137,695175.0,1887280.0,60616,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
138,679375.0,1881480.0,60608,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
139,684775.0,1881680.0,60608,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
140,688775.0,1881780.0,60616,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
141,695375.0,1881880.0,60616,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
142,679675.0,1873580.0,60609,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
143,682275.0,1876280.0,60609,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
144,688875.0,1876480.0,60609,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
145,695475.0,1876580.0,60653,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
146,700775.0,1875680.0,60653,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
147,679775.0,1870880.0,60609,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
148,685075.0,1871080.0,60609,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
149,687775.0,1868380.0,60609,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
150,695575.0,1871280.0,60615,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
151,698875.0,1871380.0,60615,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
152,679875.0,1865680.0,60636,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
153,685175.0,1865780.0,60621,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
154,689775.0,1865880.0,60621,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
155,695675.0,1865980.0,60637,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
156,700875.0,1867480.0,60637,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
157,704375.0,1867880.0,60637,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
158,679975.0,1860280.0,60636,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
159,685275.0,1860480.0,60621,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
160,689975.0,1860580.0,60621,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
161,696575.0,1860680.0,60637,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
162,701075.0,1861480.0,60637,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
163,706475.0,1860980.0,60649,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
164,680175.0,1854380.0,60620,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
165,685475.0,1855780.0,60621,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
166,691375.0,1854680.0,60620,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
167,695975.0,1855380.0,60619,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
168,701375.0,1855480.0,60619,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
169,706575.0,1854980.0,60649,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
170,680275.0,1849680.0,60620,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
171,685575.0,1849780.0,60620,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
172,689675.0,1849080.0,60620,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
173,696175.0,1850080.0,60619,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
174,698875.0,1847480.0,60619,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
175,706775.0,1850380.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
176,677875.0,1841680.0,60643,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
177,685775.0,1844480.0,60620,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
178,688475.0,1844580.0,60620,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
179,696475.0,1842080.0,60619,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
180,704075.0,1847580.0,60619,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
181,707075.0,1844480.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
182,681475.0,1839080.0,60643,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
183,685875.0,1839680.0,60643,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
184,690375.0,1836680.0,60628,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
185,694875.0,1836780.0,60628,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
186,699475.0,1842180.0,60619,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
187,707075.0,1842380.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
188,680875.0,1833780.0,60643,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
189,684375.0,1833880.0,60643,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
190,688775.0,1833980.0,60628,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
191,696775.0,1834180.0,60628,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
192,698175.0,1834280.0,60628,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
193,711475.0,1833280.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
194,681975.0,1828580.0,60643,0,0,1.5-2.0,1.75,44.45,road_node,,True,True
195,686375.0,1828680.0,60643,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
196,692875.0,1828880.0,60628,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
197,697375.0,1828880.0,60628,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
198,705075.0,1822680.0,60633,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
199,711575.0,1827480.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
200,680075.0,1823380.0,60406,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
201,689075.0,1823380.0,60628,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
202,694475.0,1820880.0,60628,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
203,701075.0,1819480.0,60628,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
204,705075.0,1821280.0,60633,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
205,706275.0,1819480.0,60633,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
206,680175.0,1816080.0,60406,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
207,683875.0,1819080.0,60406,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
208,695975.0,1814180.0,60827,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
209,695875.0,1819280.0,60628,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
210,701175.0,1816380.0,60827,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
211,711775.0,1814180.0,60633,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
212,682975.0,1812780.0,60406,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
213,689375.0,1811980.0,60827,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
214,694575.0,1811280.0,60827,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
215,699275.0,1811280.0,60419,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
216,701175.0,1811280.0,60419,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
217,711875.0,1808780.0,60409,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
218,683975.0,1805880.0,60426,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
219,687975.0,1805980.0,60426,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
220,694675.0,1805980.0,60419,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
221,698675.0,1805980.0,60419,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
222,702275.0,1806080.0,60419,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
223,709475.0,1803580.0,60409,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
224,681375.0,1800580.0,60426,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
225,688575.0,1800580.0,60426,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
226,691875.0,1800080.0,60426,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
227,696075.0,1797980.0,60473,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
228,701375.0,1798080.0,60473,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
229,709275.0,1800880.0,60409,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
230,684175.0,1792680.0,60429,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
231,688175.0,1792680.0,60426,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
232,694175.0,1795380.0,60473,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
233,698875.0,1795180.0,60473,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
234,705175.0,1795580.0,60473,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
235,709475.0,1792880.0,60438,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
236,684475.0,1789980.0,60429,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
237,688175.0,1790080.0,60430,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
238,696175.0,1791680.0,60476,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
239,698875.0,1787580.0,60476,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
240,706775.0,1789080.0,60438,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
241,709475.0,1789380.0,60438,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
242,682675.0,1784680.0,60430,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
243,688275.0,1783480.0,60430,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
244,690975.0,1784080.0,60476,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
245,698775.0,1786080.0,60476,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
246,705675.0,1782380.0,60476,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
247,709475.0,1786580.0,60438,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
248,683075.0,1776780.0,60430,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
249,686075.0,1782080.0,60430,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
250,697775.0,1777180.0,60425,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
251,706975.0,1776880.0,60425,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
252,683775.0,1775280.0,60422,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
253,687375.0,1775380.0,60430,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
254,680575.0,1768680.0,60461,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
255,688875.0,1768780.0,60422,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
256,691175.0,1768780.0,60425,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
257,701775.0,1768980.0,60411,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
258,707075.0,1768980.0,60411,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
259,685975.0,1763380.0,60461,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
260,689475.0,1764880.0,60461,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
261,691875.0,1763480.0,60411,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
262,696675.0,1763580.0,60411,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
263,690775.0,1754280.0,60475,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
264,696675.0,1755080.0,60475,0,0,1.5-2.0,1.75,44.45,road_node,,True,True
265,712575.0,1758280.0,60411,0,0,1.5-2.0,1.75,44.45,road_node,,True,True
269,655275.0,1985480.0,60093,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
271,655375.0,1980180.0,60093,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
272,661175.0,1980180.0,60093,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
274,655375.0,1972280.0,60093,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
275,660575.0,1974380.0,60091,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
276,665575.0,1974780.0,60043,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
278,652675.0,1968380.0,60029,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
279,660575.0,1969580.0,60091,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
280,665875.0,1969680.0,60091,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
281,671275.0,1968580.0,60201,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
282,676675.0,1969380.0,60201,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
283,645275.0,1964680.0,60029,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
284,654075.0,1963480.0,60029,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
285,656075.0,1963480.0,60029,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
286,663375.0,1965680.0,60091,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
287,667275.0,1965080.0,60203,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
288,673475.0,1965180.0,60201,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
289,647075.0,1961880.0,60053,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
290,651475.0,1960880.0,60029,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
291,656075.0,1960880.0,60077,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
292,663275.0,1960780.0,60203,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
293,668275.0,1960880.0,60203,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
294,672475.0,1960980.0,60201,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
295,644675.0,1954380.0,60714,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
296,651475.0,1956180.0,60053,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
297,656275.0,1955480.0,60077,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
298,662075.0,1955480.0,60076,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
299,665675.0,1955580.0,60076,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
300,672375.0,1955780.0,60202,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
301,644375.0,1949980.0,60714,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
302,651275.0,1949980.0,60077,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
303,656975.0,1952280.0,60077,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
304,661875.0,1950180.0,60712,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
305,664975.0,1950180.0,60712,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
306,672275.0,1950380.0,60645,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
307,645575.0,1946280.0,60631,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
308,650875.0,1944280.0,60646,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
309,655375.0,1944880.0,60646,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
310,663075.0,1944980.0,60712,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
311,665175.0,1943980.0,60712,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
312,672275.0,1945080.0,60645,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
313,648675.0,1937880.0,60646,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
314,651275.0,1938380.0,60646,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
315,654875.0,1941880.0,60646,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
