rank_within_available_evaluations,mode,source,repair_cost_usd,budget_remaining_usd,repaired_station_count,repaired_stations,repaired_road_component_count,served_total,served_ev,served_non_ev,finite_system_time_min,physical_in_vehicle_time_min,physical_wait_vehicle_min,physical_service_vehicle_min,charging_entries_period,average_wait_min_per_charging_session,average_service_min_per_charging_session,average_station_delay_min_per_charging_session,unstable_station_entries,potential_total,potential_ev,ev_completion_target,ev_target_shortfall,ev_target_rate,ev_target_feasible,completion_shortfall,completion_rate,completion_feasible,queue_feasible,hard_feasible,feasibility_violation,max_station_utilization,station_utilization_violation,unstable_station_count,nonfinite_wait_station_count
16,focus_7ff9e74162,BIHMH gen 40 focus / station_prune_fix,44999765.68,234.32000000029802,2,C4;C5,3848,231149.11041561002,10244.29041561002,220904.82,5866811.375189648,5840379.90497753,0.0031152011607355873,26431.467096916494,347.5246972349998,8.963970576827972e-06,76.0563704024847,76.05637936645527,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.552611580759923,0.0,0,0
17,focus_7ff9e74162,BIHMH gen 40 focus / station_prune_fix,44999985.92,14.07999999821186,2,C4;C5,3846,231149.11041561002,10244.29041561002,220904.82,5867104.267103594,5840661.709823741,0.003689633874540347,26442.553590219497,347.524697235,1.0616896882138354e-05,76.08827171307124,76.08828232996812,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526111049974002,0.0,0,0
18,focus_7ff9e74162,BIHMH gen 42 focus / station_prune_fix,44999985.92,14.07999999821186,2,C4;C5,3845,231149.11041561002,10244.29041561002,220904.82,5867772.336403702,5841339.627259426,0.003185230205073,26432.705959046,347.52469723499996,9.165478685156908e-06,76.05993522000516,76.05994438548385,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526092753130422,0.0,0,0
19,focus_7ff9e74162,BIHMH gen 49 focus / remove_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3787,231152.17529894752,10247.35529894752,220904.82,5870981.529449056,5845577.736486085,0.00018617080501174237,25403.79277680084,350.5895805724999,5.310220706152541e-07,72.46020470807312,72.46020523909519,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296886133261233,0.0,0,0
20,focus_7ff9e74162,BIHMH gen 45 focus / mip_intensify,44999788.8,211.20000000298023,3,C4;C5;C7,3774,231152.17529894752,10247.35529894752,220904.82,5871130.41266368,5845717.07730547,0.0001891013370240132,25413.33516910835,350.5895805725001,5.393809385755776e-07,72.48742283672348,72.48742337610442,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296746293981904,0.0,0,0
21,focus_7ff9e74162,BIHMH gen 44 focus / add_fix,44999348.32,651.679999999702,3,C4;C5;C7,3751,231152.17529894752,10247.35529894752,220904.82,5871217.414922213,5845818.856717786,0.0001887018224047606,25398.55801572541,350.58958057250015,5.382413878262364e-07,72.44527339988393,72.44527393812533,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296747964477522,0.0,0,0
22,focus_7ff9e74162,BIHMH gen 48 focus / swap_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3752,231152.17529894752,10247.35529894752,220904.82,5871278.163884763,5845879.370538782,0.00018860550641291833,25398.793157374872,350.58958057250004,5.379666620580463e-07,72.44594410335745,72.4459446413241,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822764,0.0,0,0
23,focus_7ff9e74162,BIHMH gen 49 focus / remove_fix,44999348.32,651.679999999702,3,C4;C5;C7,3752,231152.17529894752,10247.35529894752,220904.82,5871278.361039942,5845879.567693981,0.00018860550641294218,25398.79315735459,350.58958057250004,5.379666620581144e-07,72.44594410329961,72.44594464126627,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822768,0.0,0,0
24,focus_7ff9e74162,BIHMH gen 48 focus / swap_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3753,231152.17529894752,10247.35529894752,220904.82,5871278.361177587,5845879.567831626,0.00018860550641294286,25398.793157354587,350.5895805725,5.379666620581164e-07,72.44594410329961,72.44594464126627,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822768,0.0,0,0
25,focus_7ff9e74162,BIHMH gen 42 focus / crossover_fix,44999568.56,431.4399999976158,3,C4;C5;C7,3750,231152.17529894752,10247.35529894752,220904.82,5871301.267196031,5845902.472966877,0.00018860550614585104,25398.794040548695,350.58958057250027,5.379666612962798e-07,72.4459466224677,72.44594716043436,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822771,0.0,0,0
26,focus_7ff9e74162,BIHMH gen 42 focus / crossover_fix,44999568.56,431.4399999976158,3,C4;C5;C7,3750,231152.17529894752,10247.35529894752,220904.82,5871305.044487586,5845906.250235588,0.00018860550613670866,25398.794063391673,350.5895805724998,5.379666612702034e-07,72.44594668762369,72.44594722559034,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822759,0.0,0,0
27,focus_7ff9e74162,BIHMH gen 40 focus / swap_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3750,231152.17529894752,10247.35529894752,220904.82,5871322.204904929,5845923.406294386,0.00018860547088649028,25398.79842193722,350.5895805725002,5.379665607246636e-07,72.44595911966891,72.44595965763547,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.529674798294049,0.0,0,0
28,focus_7ff9e74162,BIHMH gen 46 focus / remove_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3750,231152.17529894752,10247.35529894752,220904.82,5871420.77283234,5846021.973001279,0.00018860550504516536,25398.79964245459,350.5895805724999,5.379666581567526e-07,72.4459626009971,72.44596313896376,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822763,0.0,0,0
29,focus_7ff9e74162,BIHMH gen 43 focus / remove_fix,44999568.56,431.4399999976158,3,C4;C5;C7,3750,231152.17529894752,10247.35529894752,220904.82,5871437.838842084,5846039.030647348,0.0001886055055432724,25398.80800613035,350.5895805724995,5.37966659577523e-07,72.4459864570278,72.44598699499446,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822762,0.0,0,0
30,focus_7ff9e74162,BIHMH gen 40 focus / crossover_fix,44999568.56,431.4399999976158,3,C4;C5;C7,3750,231152.17529894752,10247.35529894752,220904.82,5871441.620011278,5846042.8118238775,0.00018860550555333878,25398.80799879531,350.58958057249976,5.379666596062353e-07,72.44598643610571,72.44598697407237,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822764,0.0,0,0
31,focus_7ff9e74162,BIHMH gen 48 focus / remove_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3753,231152.17529894752,10247.35529894752,220904.82,5871449.599814834,5846050.786466143,0.00018860549134830582,25398.81316008546,350.58958057249987,5.379666190886792e-07,72.44600115784998,72.44600169581659,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822764,0.0,0,0
32,focus_7ff9e74162,BIHMH gen 47 focus / crossover_fix,44999348.32,651.679999999702,3,C4;C5;C7,3752,231152.17529894752,10247.35529894752,220904.82,5871450.3412673855,5846051.547735354,0.00018860550618738883,25398.79334342567,350.58958057250015,5.379666614147598e-07,72.4459446340372,72.44594517200386,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822768,0.0,0,0
33,focus_7ff9e74162,BIHMH gen 49 focus / crossover_fix,44999568.56,431.4399999976158,3,C4;C5;C7,3752,231152.17529894752,10247.35529894752,220904.82,5871450.551052173,5846051.757509643,0.00018860550618984124,25398.79335392337,350.5895805725,5.379666614217551e-07,72.44594466398023,72.44594520194688,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822774,0.0,0,0
34,focus_7ff9e74162,BIHMH gen 42 focus / remove_fix,44999568.56,431.4399999976158,3,C4;C5;C7,3752,231152.17529894752,10247.35529894752,220904.82,5871451.727050304,5846052.933507132,0.0001886055061898539,25398.793354566005,350.58958057250004,5.379666614217911e-07,72.44594466581323,72.44594520377989,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822775,0.0,0,0
35,focus_7ff9e74162,BIHMH gen 43 focus / remove_fix,44999348.32,651.679999999702,3,C4;C5;C7,3752,231152.17529894752,10247.35529894752,220904.82,5871451.748554995,5846052.95501182,0.00018860550618985457,25398.793354569356,350.5895805725001,5.37966661421793e-07,72.44594466582276,72.44594520378942,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822777,0.0,0,0
36,focus_7ff9e74162,BIHMH gen 44 focus / crossover_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3753,231152.17529894752,10247.35529894752,220904.82,5871451.748692587,5846052.955149412,0.00018860550618985484,25398.793354569352,350.5895805725,5.37966661421794e-07,72.44594466582278,72.44594520378944,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822775,0.0,0,0
37,focus_7ff9e74162,BIHMH gen 43 focus / crossover_fix,44999568.56,431.4399999976158,3,C4;C5;C7,3751,231152.17529894752,10247.35529894752,220904.82,5871454.441586691,5846055.648077076,0.00018860550616702892,25398.793321008354,350.58958057250004,5.379666613566866e-07,72.44594457009546,72.44594510806212,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748016822768,0.0,0,0
38,focus_7ff9e74162,BIHMH gen 48 focus / remove_fix,44999348.32,651.679999999702,3,C4;C5;C7,3752,231152.17529894752,10247.35529894752,220904.82,5871458.93881152,5846060.146468098,0.00018860547485711817,25398.792154816172,350.58958057250015,5.379665720502367e-07,72.44594124372111,72.44594178168768,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296747983042406,0.0,0,0
39,focus_7ff9e74162,BIHMH gen 49 focus / add_fix,44999568.56,431.4399999976158,3,C4;C5;C7,3752,231152.17529894752,10247.35529894752,220904.82,5872258.188888915,5846858.248257403,0.00018868809519485857,25399.94044282341,350.5895805725002,5.382022331831359e-07,72.44921654929452,72.44921708749675,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296748204607507,0.0,0,0
40,focus_7ff9e74162,BIHMH gen 48 focus / swap_fix,44999568.56,431.4399999976158,3,C4;C5;C7,3785,231152.17529894752,10247.35529894752,220904.82,5872553.061788676,5847153.178274869,0.00018683441198200906,25399.883326972824,350.5895805725001,5.329149020256542e-07,72.44905363558077,72.44905416849566,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296885327041088,0.0,0,0
41,focus_7ff9e74162,BIHMH gen 42 focus / add_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3786,231152.17529894752,10247.35529894752,220904.82,5872727.621709795,5847329.238258409,0.0001878808046945035,25398.383263505264,350.58958057250015,5.358995677729523e-07,72.44477494747738,72.44477548337696,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296884429481408,0.0,0,0
42,focus_7ff9e74162,BIHMH gen 46 focus / mip_intensify,44999788.8,211.20000000298023,3,C4;C5;C7,3768,231152.17529894752,10247.35529894752,220904.82,5872907.8841427555,5847507.958515806,0.0001886630945972482,25399.925438287024,350.58958057250004,5.381309230273423e-07,72.44917375128453,72.44917428941545,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296747046306642,0.0,0,0
43,focus_7ff9e74162,BIHMH gen 41 focus / swap_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3787,231152.17529894752,10247.35529894752,220904.82,5872981.53668441,5847579.7176076295,0.000185661415249077,25401.818891119405,350.58958057250027,5.295691188137951e-07,72.45457451884093,72.45457504841005,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296885263930985,0.0,0,0
44,focus_7ff9e74162,BIHMH gen 47 focus / crossover_fix,44999348.32,651.679999999702,3,C4;C5;C7,3791,231152.17529894752,10247.35529894752,220904.82,5873051.588866834,5847655.98444552,0.0001860195931396698,25395.60423529472,350.5895805724998,5.30590763239189e-07,72.43684821957525,72.43684875016602,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296879817283756,0.0,0,0
45,focus_7ff9e74162,BIHMH gen 42 focus / crossover_fix,44999348.32,651.679999999702,3,C4;C5;C7,3789,231152.17529894752,10247.35529894752,220904.82,5873196.902165126,5847787.005138588,0.0001861522477279888,25409.896840385736,350.5895805725002,5.309691389687305e-07,72.47761556088543,72.47761609185457,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296854556409344,0.0,0,0
46,focus_7ff9e74162,BIHMH gen 45 focus / mip_intensify,44999788.8,211.20000000298023,3,C4;C5;C7,3788,231152.17529894752,10247.35529894752,220904.82,5873282.161758385,5847881.309895538,0.0001867366595229496,25400.851676109975,350.5895805725003,5.326360789673649e-07,72.45181569466864,72.45181622730472,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296884914208181,0.0,0,0
47,focus_7ff9e74162,BIHMH gen 44 focus / crossover_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3791,231152.17529894752,10247.35529894752,220904.82,5873321.401725763,5847918.857364814,0.00018622986256664454,25402.544174719416,350.58958057250004,5.311905227261402e-07,72.45664327284908,72.4566438040396,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296881148121512,0.0,0,0
48,focus_7ff9e74162,BIHMH gen 41 focus / mip_intensify,44999568.56,431.4399999976158,3,C4;C5;C7,3797,231152.17529894752,10247.35529894752,220904.82,5873607.265853529,5848218.681192709,0.00019049380199934388,25388.584470325903,350.5895805724997,5.433527194056213e-07,72.41682547686469,72.41682602021741,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296747061742191,0.0,0,0
49,focus_7ff9e74162,BIHMH gen 41 focus / remove_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3793,231152.17529894752,10247.35529894752,220904.82,5874101.180412389,5848696.844642477,0.000187575491452825,25404.335582336742,350.5895805725002,5.350287111970668e-07,72.46175297295594,72.46175350798465,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.529688429695932,0.0,0,0
50,focus_7ff9e74162,BIHMH gen 49 focus / mip_intensify,44999788.8,211.20000000298023,3,C4;C5;C7,3786,231152.17529894752,10247.35529894752,220904.82,5874121.605642522,5848719.711851549,0.00018737122813540556,25401.89360360143,350.58958057250027,5.344460831649219e-07,72.45478762409608,72.45478815854217,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.529688302965327,0.0,0,0
51,focus_7ff9e74162,BIHMH gen 46 focus / swap_fix,44999568.56,431.4399999976158,3,C4;C5;C7,3788,231152.17529894752,10247.35529894752,220904.82,5874214.439697287,5848812.8125023935,0.00018693748554650294,25401.62700795611,350.5895805725001,5.332089026754326e-07,72.45402720319348,72.45402773640238,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296885778480738,0.0,0,0
52,focus_7ff9e74162,BIHMH gen 45 focus / remove_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3788,231152.17529894752,10247.35529894752,220904.82,5874358.0896437615,5848953.8949328475,0.00018693978823350712,25404.194523974584,350.5895805725002,5.332154707171877e-07,72.46135062682252,72.46135116003799,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296851566456133,0.0,0,0
53,focus_7ff9e74162,BIHMH gen 45 focus / swap_fix,44999568.56,431.4399999976158,3,C4;C5;C7,3789,231152.17529894752,10247.35529894752,220904.82,5874813.5203797,5849405.814317547,0.00018664012466631575,25407.705875513013,350.5895805725001,5.323607289228025e-07,72.47136618841652,72.47136672077725,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296882766738665,0.0,0,0
54,focus_7ff9e74162,BIHMH gen 47 focus / swap_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3792,231152.17529894752,10247.35529894752,220904.82,5875058.46358427,5848243.27721289,9.833441364242496e-05,26815.18627304546,350.58958057250027,2.8048298948830245e-07,76.4859760785167,76.4859763589997,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296671481659536,0.0,0,0
55,focus_7ff9e74162,BIHMH gen 43 focus / swap_fix,44999348.32,651.679999999702,3,C4;C5;C7,3788,231152.17529894752,10247.35529894752,220904.82,5875072.949515719,5849666.881349783,0.0001872436745784692,25406.067978692354,350.58958057250015,5.340822573012781e-07,72.46669435299577,72.46669488707803,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.529687921246942,0.0,0,0
56,focus_7ff9e74162,BIHMH gen 48 focus / crossover_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3785,231152.17529894752,10247.35529894752,220904.82,5875111.412363876,5849705.7096023485,0.0001881777378059835,25405.70257334948,350.5895805725001,5.367465213846232e-07,72.46565209343326,72.46565263017979,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296856169884139,0.0,0,0
57,focus_7ff9e74162,BIHMH gen 43 focus / mip_intensify,44999568.56,431.4399999976158,3,C4;C5;C7,3789,231152.17529894752,10247.35529894752,220904.82,5875131.166033156,5849724.407020881,0.00018833435324691543,25406.75882394145,350.5895805725002,5.371932415657425e-07,72.46866487718523,72.46866541437848,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296851800288456,0.0,0,0
58,focus_7ff9e74162,BIHMH gen 49 focus / add_fix,44999348.32,651.679999999702,3,C4;C5;C7,3786,231152.17529894752,10247.35529894752,220904.82,5875151.75406727,5849748.653344701,0.00018772446394606216,25403.100534844056,350.58958057250044,5.35453631107675e-07,72.45823020000105,72.45823073545469,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296884575001531,0.0,0,0
59,focus_7ff9e74162,BIHMH gen 45 focus / remove_fix,44999788.8,211.20000000298023,3,C4;C5;C7,3788,231152.17529894752,10247.35529894752,220904.82,5875616.854726672,5850211.521364126,0.00018733938680065007,25405.333175206542,350.5895805725005,5.343552609142902e-07,72.4645984450551,72.46459897941037,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296881955659908,0.0,0,0
60,focus_7ff9e74162,BIHMH gen 44 focus / add_fix,44999348.32,651.679999999702,3,C4;C5;C7,3792,231152.17529894752,10247.35529894752,220904.82,5875622.191056404,5850219.780232484,0.00018700237611301947,25402.410636917273,350.5895805725,5.333939925072828e-07,72.45626237789516,72.45626291128914,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5296883933950362,0.0,0,0
