roads,road_count,cost_usd,total_impact,continuity_score,boundary_end_count,source
8953->4468;4468->10827;10827->12400,3,24887.12,10114.247668301952,0.8128098123287831,1,two-sided corridor completion
1910->1909;1909->12641;12641->2894,3,42506.32,21044.528414973858,0.7921468022627735,0,two-sided corridor completion
5933->5947;5947->10568;10568->8788,3,20041.84,9854.186812451779,0.786689191208135,0,upstream corridor extension
9624->10629;10629->10623;10623->7670,3,56161.2,27580.42658864616,0.7857503497402809,0,two-sided corridor completion
6374->6377;6377->6376;6376->7138,3,41625.36,20410.37640173792,0.7845362116455131,0,downstream corridor extension
8648->4434;4434->6130;6130->10835,3,29732.4,14561.260604735464,0.7835901900814176,0,two-sided corridor completion
1909->12641;12641->2894;2894->10905,3,43387.28,21221.070862301993,0.7825729886658761,0,downstream corridor extension
10882->12589;12589->12594;12594->12593,3,31494.32,15298.60598989749,0.7772121952096755,0,two-sided corridor completion
5926->5930;5930->5921;5921->5904,3,22244.239999999998,10765.490015852052,0.7743480570863867,0,upstream corridor extension
9005->10344;10344->8811;8811->6389,3,19160.88,9221.321634188917,0.7700123697190455,0,downstream corridor extension
10630->9625;9625->10629;10629->10623,3,44268.24,21253.204976012108,0.7681608295613147,0,downstream corridor extension
6272->10577;10577->6145;6145->10576,3,34577.68,16545.101724642223,0.765585278116622,0,two-sided corridor completion
12328->12327;12327->12326;12326->12325,3,32375.280000000002,15392.686134295269,0.7607130444855591,0,two-sided corridor completion
4529->12407;12407->12400;12400->10827,3,30613.36,14546.703070078584,0.7602799859971507,0,downstream corridor extension
12758->10352;10352->4305;4305->8758,3,24006.16,11360.860698222878,0.7571963661475474,0,two-sided corridor completion
5292->10550;10550->5024;5024->12127,3,24006.16,11293.829990665477,0.7527287989859588,0,two-sided corridor completion
2847->10607;10607->10601;10601->8372,3,34357.44,16111.720366432553,0.7503106339206904,0,two-sided corridor completion
5884->10566;10566->4430;4430->5794,3,30172.88,14138.118433252172,0.7497126390720235,0,upstream corridor extension
6130->4434;4434->8648;8648->8649,3,27309.760000000002,12744.439397820312,0.7466599133977193,0,downstream corridor extension
5803->5805;5805->10567;10567->5802,3,16297.76,7596.128632566037,0.7457347397498588,0,two-sided corridor completion
10352->4305;4305->8758;8758->8757,3,16518.0,7653.975144702498,0.7413948560070225,0,downstream corridor extension
6133->8648;8648->4434;4434->10575,3,33256.240000000005,15272.859397456103,0.734796688859888,0,two-sided corridor completion
4428->6285;6285->6286;6286->10585,3,22024.0,10030.863946424419,0.7287224080221155,0,downstream corridor extension
5167->10343;10343->6374;6374->6377,3,37440.8,16814.67102065096,0.7185603307899814,0,upstream corridor extension
10623->10889;10889->1952;1952->1954,3,37881.28,16994.668861110033,0.7178075866965439,0,two-sided corridor completion
5947->10568;10568->8788;8788->5922,3,25107.36,11251.074956521796,0.7169897564074788,0,two-sided corridor completion
7043->10601;10601->8372;8372->7046,3,33256.24,14859.620616250431,0.7149152455599519,0,two-sided corridor completion
10346->6375;6375->6374;6374->6377,3,31934.8,14210.180596603423,0.711959647612181,0,two-sided corridor completion
12400->10827;10827->4468;4468->10833,3,21583.52,7630.602639152365,0.707076754778865,1,two-sided corridor completion
10627->7587;7587->7586;7586->10621,3,22244.24,9764.398831143639,0.7023408365414967,0,downstream corridor extension
8811->6389;6389->10344;10344->8993,3,16958.480000000003,7416.281843123651,0.6997119405157679,0,downstream corridor extension
10601->8372;8372->7046;7046->7048,3,33476.479999999996,14634.5163937906,0.6994530556995527,0,downstream corridor extension
5803->5805;5805->10567;10567->8772,3,17178.72,7483.605689925549,0.6970117158834231,0,upstream corridor extension
10585->6286;6286->4428;4428->6285,3,27530.0,11967.360177327602,0.6955240204767223,0,upstream corridor extension
8736->5926;5926->5930;5930->5921,3,20702.559999999998,8953.993115408091,0.6920105042397147,0,upstream corridor extension
7046->8372;8372->10601;10601->7043,3,33256.24,14298.59692361503,0.6879236822257733,0,two-sided corridor completion
7455->8371;8371->4431;4431->8696,3,33696.72,14470.223673659737,0.6870804599930076,0,two-sided corridor completion
5885->5896;5896->10573;10573->5921,3,20262.08,8621.076438662516,0.6807653657403399,0,upstream corridor extension
5930->5921;5921->5904;5904->5902,3,23785.92,10120.140751159188,0.6807483251375058,0,two-sided corridor completion
5163->5152;5152->5128;5128->10547,3,30833.6,13049.331334854247,0.6771486344691116,0,upstream corridor extension
8478->12328;12328->12327;12327->12326,3,42065.840000000004,17755.964084124294,0.6753589738038958,0,upstream corridor extension
6195->6285;6285->4428;4428->6286,3,31934.800000000003,13335.44649618502,0.6681336471152484,0,upstream corridor extension
8372->10601;10601->7043;7043->7042,3,33476.479999999996,13979.185937190505,0.668131700211755,0,downstream corridor extension
6286->10585;10585->2450;2450->6305,3,15416.8,6386.140356263527,0.6627720778645143,0,downstream corridor extension
8648->4434;4434->10575;10575->6260,3,40083.68,16574.051229970544,0.6615780279643204,0,downstream corridor extension
10629->10623;10623->7670;7670->2086,3,66512.48,27463.49887489747,0.660651928778418,0,downstream corridor extension
10568->8788;8788->5922;5922->5904,3,23565.68,9700.541575673793,0.6586216277687752,0,downstream corridor extension
9004->8997;8997->6236;6236->6051,3,20482.32,8366.858668147888,0.6535867943200098,0,upstream corridor extension
2450->10585;10585->6286;6286->4428,3,22244.239999999998,9027.100980146739,0.6493079362673116,0,upstream corridor extension
12327->12326;12326->12325;12325->8886,3,29291.920000000002,11878.518665789403,0.6488352373372263,0,downstream corridor extension
6305->2450;2450->10585;10585->6286,3,15416.8,6249.57098648465,0.6485985145020654,0,upstream corridor extension
10607->10601;10601->8372;8372->7046,3,36559.84,14819.917689322056,0.6485769167183251,0,downstream corridor extension
10600->6968;6968->6978;6978->8375,3,32815.76,13295.934617843377,0.6482706903192065,0,downstream corridor extension
10347->6386;6386->6379;6379->2425,3,20262.08,8190.0196078009885,0.6467268598525711,0,upstream corridor extension
1954->1952;1952->10889;10889->10623,3,37881.28,15296.181352687465,0.6460681942188846,0,downstream corridor extension
7455->8371;8371->4431;4431->2084,3,33476.479999999996,13358.130985559921,0.6384485339227983,0,upstream corridor extension
10893->10894;10894->12594;12594->12593,3,45369.44,17990.753679196172,0.6344624462350401,0,upstream corridor extension
6391->9004;9004->8997;8997->6236,3,20262.08,7999.78925127597,0.6317052741891036,0,downstream corridor extension
10583->6267;6267->10582;10582->6261,3,31274.079999999998,12341.475623732225,0.6313970226453205,0,upstream corridor extension
8371->4431;4431->10607;10607->2847,3,26649.04,10473.433104298048,0.628821637360178,0,upstream corridor extension
10624->9624;9624->10629;10629->10623,3,58363.600000000006,22882.705059065385,0.6273144236219941,0,upstream corridor extension
6282->4428;4428->6286;6286->6285,3,17178.72,6714.3967727976915,0.6253687606804411,0,upstream corridor extension
10600->6955;6955->10599;10599->6950,3,33256.24,12935.51098263196,0.6223438841014841,0,downstream corridor extension
10165->10612;10612->7450;7450->10611,3,33036.0,12808.403170484678,0.6203367560472057,0,downstream corridor extension
10608->7455;7455->8371;8371->4431,3,33256.24,12792.301243651791,0.6154538814322627,0,upstream corridor extension
12335->2745;2745->3979;3979->12332,3,17398.960000000003,6672.351706289459,0.6135862563086031,0,upstream corridor extension
7048->7046;7046->8372;8372->10601,3,33476.479999999996,12750.893027608618,0.6094257473955982,0,upstream corridor extension
10910->12660;12660->10909;10909->2229,3,58143.36,22098.48281731259,0.6081102383436414,0,two-sided corridor completion
6266->6272;6272->10577;10577->6145,3,34797.92,13198.97324164003,0.6068856180663686,0,upstream corridor extension
6377->6376;6376->7138;7138->8751,3,28851.440000000002,10930.191182099165,0.6061501918572751,0,downstream corridor extension
8695->7451;7451->10612;10612->7450,3,24666.88,9342.43181659586,0.6059903362952013,0,upstream corridor extension
10344->8811;8811->6391;6391->9004,3,18940.64,7158.75225274089,0.6047316038098726,0,upstream corridor extension
12407->12400;12400->10827;10827->4468,3,33696.72,12709.24281655987,0.6034649220011857,0,downstream corridor extension
6968->10600;10600->6955;6955->10599,3,32595.52,12219.97892057333,0.5998359981039519,0,two-sided corridor completion
4364->7424;7424->7513;7513->8082,3,20482.32,7663.562420442745,0.598647998503509,0,two-sided corridor completion
7042->7043;7043->10601;10601->8372,3,33476.479999999996,12496.703947541844,0.5972768438039768,0,upstream corridor extension
10819->10285;10285->12360;12360->2446,3,35238.4,13131.299977320152,0.5962268424137374,0,upstream corridor extension
12593->1954;1954->1952;1952->10889,3,37440.8,13896.88329903092,0.5938712121121736,0,two-sided corridor completion
10889->10623;10623->10629;10629->9625,3,42286.08,15656.91530261051,0.5924186986397608,0,downstream corridor extension
10600->6955;6955->10599;10599->7037,3,33256.24,12308.574061454714,0.592181151517055,0,upstream corridor extension
10889->1952;1952->1954;1954->12593,3,37440.8,13799.293728394325,0.5897008067517499,0,downstream corridor extension
5896->10573;10573->5921;5921->5904,3,27530.0,10134.028363373498,0.5889736789465164,0,two-sided corridor completion
7451->10612;10612->7450;7450->10611,3,32595.520000000004,11989.624844218039,0.5885287226817937,0,two-sided corridor completion
5015->12336;12336->2745;2745->10542,3,15196.560000000001,5573.6354577201155,0.5868312784177593,0,downstream corridor extension
10566->4430;4430->5794;5794->8408,3,28631.2,10483.67967398134,0.5858604416989209,0,two-sided corridor completion
6955->10600;10600->6968;6968->6978,3,33036.0,12083.817301967512,0.5852436034370995,0,two-sided corridor completion
10344->8811;8811->6389;6389->6380,3,20702.56,7558.8736777192335,0.5841885198908141,0,downstream corridor extension
6866->10595;10595->6847;6847->10594,3,28410.960000000003,10356.67779889338,0.5832497204680661,0,upstream corridor extension
5805->10567;10567->5802;5802->5567,3,23125.2,8407.700444524791,0.58171694563678,0,downstream corridor extension
12840->12758;12758->10352;10352->4305,3,30833.6,11199.511183177858,0.5811587973212526,0,upstream corridor extension
2069->10165;10165->10612;10612->7450,3,31934.800000000003,11553.958066061861,0.578877365936188,0,two-sided corridor completion
8735->5803;5803->5805;5805->10567,3,16297.76,5840.93242113122,0.573421861274798,0,upstream corridor extension
5896->5884;5884->10566;10566->8408,3,31053.839999999997,11125.650373115512,0.5732315422822047,0,two-sided corridor completion
8757->8758;8758->4305;4305->10352,3,16518.0,5895.940952333528,0.5711045843161185,0,upstream corridor extension
10164->10165;10165->10612;10612->7450,3,31934.800000000003,11295.412676631404,0.5659237033772012,0,downstream corridor extension
4428->6286;6286->10585;10585->2450,3,22244.239999999998,7865.055472185236,0.5657234751781306,0,downstream corridor extension
4459->12462;12462->12460;12460->12455,3,40083.68,14147.53589622227,0.5647200415220268,0,upstream corridor extension
7020->10358;10358->1898;1898->7021,3,27530.0,9663.906904074514,0.5616509642760342,0,downstream corridor extension
6759->8756;8756->10347;10347->6386,3,22024.0,7723.124025944971,0.5610696713363582,0,upstream corridor extension
5020->5019;5019->5017;5017->10543,3,35899.119999999995,12523.284263042773,0.5581544845909437,0,two-sided corridor completion
2825->2847;2847->10607;10607->10601,3,27530.0,9545.901493460302,0.5547926766994727,0,upstream corridor extension
7589->7587;7587->7586;7586->10621,3,33696.72,11670.126125171784,0.5541252026985076,0,downstream corridor extension
10612->7450;7450->10611;10611->7546,3,36780.08,12685.69395870826,0.5518506303937679,0,downstream corridor extension
12593->12594,1,7047.68,19436.92935848611,0.551583765394743,0,upstream boundary-facing singleton
10578->8399;8399->6186;6186->10577,3,24666.88,8483.226050008176,0.5502585523589965,0,two-sided corridor completion
8997->6236;6236->6051;6051->8791,3,24887.120000000003,8558.021092077584,0.5501976021059943,0,two-sided corridor completion
5019->5017;5017->5015;5015->12336,3,29512.160000000003,10107.900058119572,0.547999200769829,0,upstream corridor extension
1952->10889;10889->10623;10623->10629,3,53298.08,18240.77240272531,0.5475851258499461,0,downstream corridor extension
7471->12487;12487->7112;7112->7073,3,24006.159999999996,8195.686784907188,0.5462389176716103,0,two-sided corridor completion
5795->8769;8769->5797;5797->8771,3,23125.2,7888.042103528543,0.5457625173250683,0,two-sided corridor completion
10573->5921;5921->5904;5904->5902,3,24006.16,8179.308967170099,0.5451473433265529,0,downstream corridor extension
8408->10566;10566->4430;4430->5794,3,30613.36,10425.546273521379,0.5448887034168809,0,downstream corridor extension
7590->7589;7589->7587;7587->7586,3,33476.479999999996,11370.41442714769,0.5434461174961139,0,downstream corridor extension
2745->3979;3979->12332;12332->12331,3,25768.08,8751.34049004101,0.5433910785772791,0,two-sided corridor completion
10539->12323;12323->12322;12322->8482,3,32155.04,10917.7761942608,0.5432567308520617,0,upstream corridor extension
6917->6761;6761->6759;6759->6379,3,22684.72,7646.061707654619,0.539292472300623,0,two-sided corridor completion
8769->5797;5797->8771;8771->10561,3,25327.6,8520.663640233362,0.5382689960506871,0,downstream corridor extension
10802->10808;10808->10284;10284->12358,3,20482.32,6883.2109831958505,0.5376899478727685,0,two-sided corridor completion
4468->10827;10827->12400;12400->12406,3,33036.0,11023.743293791364,0.533902084697487,0,downstream corridor extension
10623->10629;10629->9625;9625->10630,3,44268.24,14678.285565188577,0.5305215862275465,0,downstream corridor extension
6978->6968;6968->10600;10600->6955,3,33036.0,10940.996736767644,0.5298945023255912,0,upstream corridor extension
10611->7546;7546->12591;12591->7527,3,31934.8,10543.809361423153,0.5282668116999963,0,upstream corridor extension
10566->4430;4430->5794;5794->5528,3,31934.800000000003,10521.86003343988,0.5271671046477137,0,upstream corridor extension
8371->4431;4431->8696;8696->2069,3,33696.72,11102.27597843625,0.5271623340639089,0,downstream corridor extension
7451->8696;8696->4431;4431->8371,3,26208.56,8619.821562024661,0.5262293883845376,0,upstream corridor extension
8811->6391;6391->9004;9004->8997,3,17619.2,5792.364205189382,0.5260047407545753,0,two-sided corridor completion
7021->7020;7020->10358;10358->1898,3,30613.36,10057.323998002981,0.5256436535161371,0,two-sided corridor completion
6262->6258;6258->10581;10581->6256,3,28851.440000000002,9477.225838391,0.525573813349545,0,upstream corridor extension
6968->6978;6978->8375;8375->10602,3,33036.0,10847.876256694308,0.5253844899718759,0,downstream corridor extension
8953->4468;4468->10827,2,23125.199999999997,7445.439065500967,0.5231884905401499,1,upstream corridor extension
6267->10582;10582->6261;6261->8652,3,31934.8,10423.34009649975,0.5222310505905658,0,two-sided corridor completion
6163->6142;6142->6138;6138->6133,3,33476.479999999996,10918.124393250733,0.521829028296917,0,downstream corridor extension
7670->10623;10623->10629;10629->9625,3,55060.0,17937.387277867463,0.5212462703339619,0,two-sided corridor completion
5805->10567;10567->8772;8772->5798,3,22244.239999999998,7243.800931276243,0.5210374231730097,0,two-sided corridor completion
10285->12360;12360->2446;2446->12359,3,30393.120000000003,9897.11018125711,0.5210184505576057,0,two-sided corridor completion
5267->10549;10549->5020;5020->5019,3,22684.72,7385.329153948607,0.5209024685478936,0,upstream corridor extension
8399->6186;6186->8398;8398->6282,3,31053.84,10062.415042335742,0.5184500231770753,0,upstream corridor extension
6802->12135;12135->10594;10594->6847,3,22684.72,7320.595225701897,0.5163366513284288,0,upstream corridor extension
7670->2086;2086->10629;10629->10623,3,66512.48,21402.959182442795,0.5148617927328597,0,downstream corridor extension
5152->5128;5128->10547;10547->4971,3,35458.64,11356.263421757196,0.5124286062525668,0,two-sided corridor completion
6286->4428;4428->6285;6285->6195,3,31934.800000000003,10173.227471796625,0.5096998871098174,0,downstream corridor extension
4429->8386;8386->6272;6272->6266,3,33696.72,10727.114989934516,0.5093488026103201,0,downstream corridor extension
6261->10582;10582->6267;6267->10583,3,31274.079999999998,9952.466933647203,0.5091739579177238,0,downstream corridor extension
6265->6262;6262->6258;6258->6675,3,27750.239999999998,8827.143627308738,0.5089480236457048,0,downstream corridor extension
2450->6305;6305->6287;6287->10584,3,20922.8,6641.79910202648,0.5079090065977006,0,upstream corridor extension
5335->5292;5292->10550;10550->5024,3,41625.36,13098.414615180307,0.5034782494202691,0,upstream corridor extension
6761->6759;6759->6379;6379->6386,3,21583.52,6786.663150398218,0.5030996353068058,0,downstream corridor extension
6282->10578;10578->8399;8399->6186,3,29291.920000000002,9200.902436196822,0.5025769528905895,0,upstream corridor extension
6262->6258;6258->6675;6675->10587,3,24666.88,7723.74760115045,0.5009955114647949,0,downstream corridor extension
8398->6282;6282->10578;10578->8399,3,33916.96,10570.819514829214,0.49866825398640513,0,downstream corridor extension
8402->6163;6163->6142;6142->6138,3,33696.72,10499.215720738297,0.498527606045374,0,two-sided corridor completion
6847->10594;10594->12135;12135->6802,3,28190.72,8710.356413999176,0.49436730464488604,0,downstream corridor extension
9005->10344;10344->8993;8993->8992,3,22024.0,6802.764065458826,0.4942073422055086,0,two-sided corridor completion
10629->10623;10623->10889;10889->10895,3,78845.92,24272.519027245555,0.4925559933043192,0,upstream corridor extension
6270->6265;6265->6262;6262->6258,3,33256.24,10235.595805225854,0.49244753130123453,0,two-sided corridor completion
7546->12591;12591->7527;7527->12588,3,28631.2,8804.617429155878,0.49202925083997195,0,two-sided corridor completion
10907->10906;10906->10905;10905->2894,3,36119.36,11105.467937975282,0.49194528088981787,0,downstream corridor extension
5019->5017;5017->10543;10543->12336,3,33916.96,10307.289642948788,0.486236485484491,0,downstream corridor extension
2022->7021;7021->7020;7020->10358,3,36339.6,11042.991767990818,0.48621302460085714,0,upstream corridor extension
10594->6847;6847->10595;10595->6866,3,28410.960000000003,8562.96918625758,0.48223469738481656,0,downstream corridor extension
8371->4431;4431->2084;2084->2069,3,33036.0,9951.121847366316,0.4819528682584485,0,two-sided corridor completion
8385->10583;10583->6267;6267->10582,3,33036.0,9913.864622349574,0.4801484258311939,0,upstream corridor extension
4431->10607;10607->2847;2847->7045,3,18940.64,5681.375839176859,0.4799310552696728,0,two-sided corridor completion
7562->7563;7563->8322;8322->8324,3,19160.88,5747.393916048397,0.47992734496940825,0,upstream corridor extension
10582->6261;6261->8652;8652->6263,3,29291.92,8773.247533562246,0.47921734231486346,0,downstream corridor extension
8372->7046;7046->7048;7048->2846,3,23345.44,6970.620494947556,0.4777375278391023,0,downstream corridor extension
7450->10611;10611->7546;7546->12591,3,30833.6,9195.820554926433,0.4771843990932714,0,downstream corridor extension
7587->7586;7586->10621;10621->7965,3,29512.16,8789.784208668314,0.47653762834944313,0,downstream corridor extension
10595->6847;6847->10594;10594->12135,3,33476.48,9945.22763915513,0.475329670940559,0,two-sided corridor completion
10550->5024;5024->12127;12127->12112,3,26428.800000000003,7843.11024433525,0.4748220271422236,0,downstream corridor extension
8992->9005;9005->10344;10344->8811,3,25988.32,7698.790797480355,0.4739846698812608,0,two-sided corridor completion
7563->8322;8322->8324;8324->2050,3,16518.0,4891.070499155983,0.4737687854855051,0,two-sided corridor completion
7560->7590;7590->7589;7589->7587,3,33916.96,10015.326710778394,0.47246341468237224,0,downstream corridor extension
6145->10576;10576->8649;8649->6260,3,43607.52,12871.0268532,0.4722498084073573,0,downstream corridor extension
8300->5795;5795->8769;8769->5797,3,27530.0,8114.863109744268,0.47162299221179904,0,upstream corridor extension
2825->2847;2847->10607;10607->8695,3,38101.52,11227.04090801229,0.47145797471648554,0,two-sided corridor completion
2847->10607;10607->8695;8695->7451,3,38101.52,11210.293406476789,0.47075469562271705,0,downstream corridor extension
4430->5794;5794->8408;8408->10566,3,37881.28,11066.00907064914,0.46739747212973337,0,downstream corridor extension
7044->2825;2825->2847;2847->10607,3,35899.12,10476.006696564691,0.4669086795025479,0,upstream corridor extension
6377->2426;2426->6386;6386->10347,3,16958.48,4940.209637708596,0.46609928604059764,0,upstream corridor extension
10571->5870;5870->10570;10570->5866,3,33256.24,9685.909397854222,0.4660014191792805,0,two-sided corridor completion
10601->7043;7043->7042;7042->7040,3,33696.72,9808.507464320572,0.4657311436517535,0,downstream corridor extension
4384->4385;4385->7006;7006->4386,3,21803.760000000002,6346.537199804777,0.46572056928197897,0,upstream corridor extension
7965->10621;10621->7586;7586->7587,3,29512.16,8583.586940374262,0.46535865570662466,0,two-sided corridor completion
10597->12185;12185->4386;4386->7006,3,21583.52,6274.853582890753,0.46515886809126616,0,upstream corridor extension
12491->7471;7471->12487;12487->7112,3,21363.28,6185.867053388008,0.46328968610722754,0,upstream corridor extension
8696->4431;4431->8371;8371->7045,3,33696.72,9748.81080715454,0.4628966051131167,0,two-sided corridor completion
12591->7527;7527->12588;12588->4518,3,28410.96,8200.394836034542,0.46181585337684006,0,downstream corridor extension
6265->6262;6262->6258;6258->6257,3,34357.44,9905.201763336681,0.4612777558903891,0,upstream corridor extension
2086->7670;7670->10623;10623->10629,3,66512.48,19165.10751155357,0.46102884779646947,0,upstream corridor extension
7052->7456;7456->7455;7455->8371,3,32815.76,9432.321209810847,0.45989225712576376,0,downstream corridor extension
6379->6759;6759->6761;6761->6917,3,22684.72,6510.325442720915,0.4591866555264276,0,downstream corridor extension
9004->8997;8997->6236;6236->6237,3,27089.52,7764.679693429492,0.45860862464477725,0,upstream corridor extension
6142->6138;6138->6133;6133->8648,3,26208.56,7497.553820651467,0.4577163382132534,0,downstream corridor extension
3979->12332;12332->12331;12331->8476,3,29952.640000000003,8566.038175360582,0.45757773206558516,0,downstream corridor extension
7631->10627;10627->7587;7587->7586,3,32595.52,9318.204455881149,0.45739804517338084,0,two-sided corridor completion
4431->8371;8371->7045;7045->2847,3,25547.84,7291.505086494429,0.4566494912443121,0,downstream corridor extension
6743->10346;10346->6375;6375->6374,3,22024.0,6280.89423703061,0.45629453229426886,0,upstream corridor extension
10606->7041;7041->10605;10605->10120,3,29071.68,8226.20030456576,0.45274027807492434,0,downstream corridor extension
12660->10909;10909->2229;2229->10903,3,57262.399999999994,16198.516400521848,0.4526115957562897,0,downstream corridor extension
7424->7513;7513->8082;8082->8083,3,25988.32,7341.362824263182,0.45197921677203806,0,downstream corridor extension
8758->4305;4305->10352;10352->4051,3,21143.04,5945.782659792644,0.4499472287650324,0,two-sided corridor completion
12661->12660;12660->10909;10909->2229,3,65851.76,18480.0017430797,0.4490085426559218,0,downstream corridor extension
6376->6377;6377->6374;6374->10343,3,36339.6,10180.56153162388,0.44824099468894013,0,upstream corridor extension
5884->5885;5885->5896;5896->10573,3,17398.96,4864.263948183156,0.44731537500477325,0,upstream corridor extension
10622->7564;7564->7562;7562->10616,3,26869.28,7496.193281325136,0.4463800016271452,0,downstream corridor extension
10582->6267;6267->10583;10583->8385,3,33036.0,9181.782605082482,0.44469221964317635,0,downstream corridor extension
5870->10570;10570->5866;5866->10569,3,33036.0,9170.626496438332,0.4441519068380352,0,downstream corridor extension
6272->6266;6266->6263;6263->8652,3,31274.08,8664.190273297714,0.4432649797300622,0,downstream corridor extension
6258->6675;6675->10587;10587->6673,3,26208.559999999998,7251.610389944188,0.4427017975772306,0,upstream corridor extension
10625->10630;10630->9625;9625->10629,3,44488.48,12281.705122170866,0.44170374432827075,0,downstream corridor extension
12135->10594;10594->6847;6847->10595,3,27970.480000000003,7712.876217526999,0.4412009357023261,0,two-sided corridor completion
6978->8375;8375->10602;10602->6999,3,33256.24,9161.379545296437,0.4407656209022517,0,downstream corridor extension
8381->10589;10589->6707;6707->6704,3,34137.2,9368.61479862832,0.43910407642704474,0,two-sided corridor completion
7589->7590;7590->7560;7560->4378,3,23785.92,6523.533849014326,0.4388164997789836,0,downstream corridor extension
5128->10547;10547->4971;4971->8703,3,38101.52,10447.898943581471,0.43873940750212476,0,downstream corridor extension
12462->12460;12460->12455;12455->10841,3,58583.84,16019.904021355822,0.43752417789904724,0,two-sided corridor completion
6673->10587;10587->6675;6675->6672,3,32815.76,8916.020534559406,0.4347189537982679,0,downstream corridor extension
8652->6261;6261->10582;10582->6267,3,31934.8,8668.05723547234,0.43428772300924845,0,two-sided corridor completion
2863->4364;4364->7424;7424->7513,3,27309.760000000002,7399.980670802442,0.43354350507964573,0,upstream corridor extension
